brand,model,type_,is_electric,km_per_liter,range_in_km,seats,price
Fork,F-150,truck,False,8.5,,5,35000
Toyolla,Corolla,sedan,False,12.0,,5,20000
Hyundae,SantaFe,suv,False,10.0,,7,28000
VVV,Beetle,hatchback,False,15.0,,4,22000
Fork,Mustang,sedan,True,,400,4,50000
Toyolla,LandCruiser,suv,False,7.0,,8,60000
Hyundae,Elantra,sedan,False,13.0,,5,18000
VVV,ID.3,compact,True,,350,5,33000
Fork,Explorer,suv,False,9.0,,7,45000
Toyolla,Prius,sedan,True,,450,5,27000
Hyundae,Accent,hatchback,False,14.5,,5,16000
VVV,Golf,hatchback,False,14.0,,5,23000
Fork,Fusion,sedan,True,,370,5,31000
Toyolla,Highlander,suv,False,8.0,,7,42000
Hyundae,Kona,compact,True,,400,5,35000
VVV,Tiguan,suv,False,10.5,,7,32000
Fork,Transit,truck,False,7.5,,3,37000
Toyolla,RAV4,suv,True,,500,5,38000
Hyundae,Tucson,suv,False,9.5,,5,29000
VVV,Atlas,suv,False,9.0,,7,40000
Fork,Maverick,truck,True,,450,5,43000
Toyolla,Camry,sedan,False,11.5,,5,25000
Hyundae,Ioniq,sedan,True,,450,5,36000
VVV,Passat,sedan,False,12.0,,5,27000
Fork,Bronco,suv,False,8.0,,5,47000
Toyolla,Yaris,compact,False,15.5,,5,15000
Hyundae,Venue,compact,False,13.5,,5,19000
VVV,Jetta,sedan,False,13.0,,5,24000
Fork,Escape,suv,True,,400,5,35000
Toyolla,Avalon,sedan,False,10.0,,5,35000
Hyundae,Palisade,suv,False,8.5,,8,47000
VVV,ID.4,suv,True,,450,5,45000
Fork,EcoSport,compact,False,12.5,,5,21000
Toyolla,Sequoia,suv,False,6.5,,8,55000
Hyundae,Sonata,sedan,False,11.0,,5,27000
VVV,Taos,suv,False,11.0,,5,25000
Fork,Ranger,truck,False,9.5,,5,32000
Toyolla,4Runner,suv,False,7.5,,7,48000
Hyundae,Veloster,hatchback,False,12.0,,4,22000
VVV,Polo,hatchback,False,14.0,,5,18000
Fork,Mustang Mach-E,compact,True,,480,5,53000
Toyolla,Sienna,suv,True,,500,7,50000
Hyundae,Ioniq 5,suv,True,,480,5,42000
VVV,Arteon,sedan,False,10.5,,5,34000
Fork,Expedition,suv,False,6.0,,8,60000
Toyolla,C-HR,compact,False,12.5,,5,22000
Hyundae,Creta,suv,False,11.0,,5,25000
VVV,ID.Buzz,van,True,,400,5,47000
Fork,F-250,truck,False,7.0,,5,40000
Toyolla,Tundra,truck,False,6.0,,5,52000
Hyundae,Santa Cruz,truck,False,8.5,,5,34000
VVV,ID.6,suv,True,,450,7,52000
Fork,Taurus,sedan,False,10.5,,5,29000
Toyolla,Mirai,sedan,True,,500,5,58000
Hyundae,Nexo,suv,True,,550,5,60000
VVV,Passat GTE,sedan,True,,400,5,45000
Fork,Focus,compact,False,14.0,,5,21000
Toyolla,Aygo,compact,False,16.0,,4,14000
Hyundae,Bayon,compact,False,13.0,,5,20000
VVV,Up!,compact,False,15.5,,4,16000
Fork,F-350,truck,False,6.5,,5,45000
Toyolla,Proace,van,True,,420,5,46000
Hyundae,Staria,van,False,7.0,,7,42000
VVV,Crafter,truck,False,8.0,,3,37000
Fork,Mach-E GT,compact,True,,450,5,59000
Toyolla,Fortuner,suv,False,8.5,,7,43000
Hyundae,Tucson Hybrid,suv,True,,480,5,40000
VVV,Sharan,van,False,9.0,,7,35000
Fork,Mondeo,sedan,False,11.0,,5,27000
Toyolla,Corolla Cross,suv,True,,400,5,37000
Hyundae,Kona Electric,compact,True,,450,5,36000
VVV,Golf GTE,hatchback,True,,400,5,35000
Fork,B-Max,hatchback,False,14.5,,5,18000
Toyolla,Innova,van,False,8.0,,7,33000
Hyundae,H-1,van,False,7.0,,9,39000
VVV,ID.3 GTX,compact,True,,500,5,43000
Fork,Ka+,hatchback,False,16.0,,5,17000
Toyolla,Rush,suv,False,10.0,,7,27000
Hyundae,Verna,sedan,False,12.5,,5,23000
VVV,Phaeton,sedan,False,9.0,,5,45000
Fork,Fiesta,compact,False,15.0,,5,19000
Toyolla,Raize,compact,False,14.5,,5,18000
Hyundae,Genesis G80,sedan,False,9.5,,5,48000
VVV,ID.4 GTX,suv,True,,480,5,49000
